Time,Temp,Heat Index,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
6/18/16 0:51,63.0 °F,-,48.0 °F,0.58,30.13 in,10.0 mi,Variable,4.6 mph,-,N/A,,Clear
6/18/16 1:51,63.0 °F,-,48.0 °F,0.58,30.13 in,10.0 mi,WNW,4.6 mph,-,N/A,,Clear
6/18/16 2:51,63.0 °F,-,48.9 °F,0.6,30.12 in,10.0 mi,Calm,Calm,-,N/A,,Clear
6/18/16 3:51,63.0 °F,-,48.0 °F,0.58,30.13 in,10.0 mi,West,4.6 mph,-,N/A,,Clear
6/18/16 4:51,62.1 °F,-,48.0 °F,0.6,30.14 in,10.0 mi,Calm,Calm,-,N/A,,Clear
6/18/16 5:51,62.1 °F,-,46.9 °F,0.58,30.17 in,10.0 mi,Calm,Calm,-,N/A,,Clear
6/18/16 6:51,64.0 °F,-,48.0 °F,0.56,30.19 in,10.0 mi,Calm,Calm,-,N/A,,Clear
6/18/16 7:51,66.0 °F,-,46.9 °F,0.5,30.20 in,10.0 mi,WNW,5.8 mph,-,N/A,,Clear
6/18/16 8:51,69.1 °F,-,48.0 °F,0.47,30.22 in,10.0 mi,West,3.5 mph,-,N/A,,Clear
6/18/16 9:51,72.0 °F,-,50.0 °F,0.46,30.22 in,10.0 mi,Variable,3.5 mph,-,N/A,,Clear
6/18/16 10:51,75.0 °F,-,53.1 °F,0.46,30.23 in,10.0 mi,Calm,Calm,-,N/A,,Clear
6/18/16 11:51,81.0 °F,80.4 °F,53.1 °F,0.38,30.24 in,9.0 mi,Calm,Calm,-,N/A,,Clear
6/18/16 12:51,84.0 °F,-,50.0 °F,0.31,30.23 in,10.0 mi,Variable,5.8 mph,-,N/A,,Clear
6/18/16 13:51,86.0 °F,-,50.0 °F,0.29,30.22 in,10.0 mi,East,4.6 mph,-,N/A,,Clear
6/18/16 14:51,86.0 °F,-,51.1 °F,0.3,30.20 in,10.0 mi,Variable,4.6 mph,-,N/A,,Clear
6/18/16 15:51,82.0 °F,81.6 °F,55.9 °F,0.41,30.21 in,9.0 mi,Calm,Calm,-,N/A,,Partly Cloudy
6/18/16 16:51,81.0 °F,80.4 °F,53.1 °F,0.38,30.22 in,9.0 mi,Variable,5.8 mph,-,N/A,,Clear
6/18/16 17:51,80.1 °F,-,51.1 °F,0.36,30.21 in,9.0 mi,Variable,4.6 mph,-,N/A,,Clear
6/18/16 18:51,77.0 °F,-,50.0 °F,0.39,30.22 in,9.0 mi,Variable,5.8 mph,-,N/A,,Clear
6/18/16 19:51,75.0 °F,-,48.9 °F,0.4,30.24 in,9.0 mi,Variable,3.5 mph,-,N/A,,Clear
6/18/16 20:51,73.9 °F,-,48.9 °F,0.41,30.25 in,10.0 mi,Variable,5.8 mph,-,N/A,,Clear
6/18/16 21:51,73.0 °F,-,48.0 °F,0.41,30.28 in,10.0 mi,Calm,Calm,-,N/A,,Clear
6/18/16 22:51,73.0 °F,-,51.1 °F,0.46,30.28 in,10.0 mi,Calm,Calm,-,N/A,,Partly Cloudy
6/18/16 23:51,71.1 °F,-,54.0 °F,0.55,30.29 in,10.0 mi,Calm,Calm,-,N/A,,Mostly Cloudy
