Time	Temp	Dew Point	Humidity	Pressure	Visibility	Wind Dir	Wind Speed	Gust Speed	Precip	Events	Conditions
6/4/16 0:51	66.9 °F	60.1 °F	0.79	30.04 in	8.0 mi	Calm	Calm	-	N/A		Overcast
6/4/16 1:51	66.9 °F	61.0 °F	0.81	30.03 in	8.0 mi	Calm	Calm	-	N/A		Overcast
6/4/16 2:51	68.0 °F	62.1 °F	0.81	30.01 in	7.0 mi	Calm	Calm	-	N/A		Overcast
6/4/16 3:51	68.0 °F	62.1 °F	0.81	30.01 in	7.0 mi	Calm	Calm	-	N/A		Overcast
6/4/16 4:51	66.9 °F	62.1 °F	0.84	30.01 in	7.0 mi	Calm	Calm	-	N/A		Overcast
6/4/16 5:51	68.0 °F	63.0 °F	0.84	30.01 in	6.0 mi	Calm	Calm	-	N/A		Haze
6/4/16 6:40	68.0 °F	64.0 °F	0.87	30.04 in	5.0 mi	Variable	4.6 mph	-	N/A		Scattered Clouds
6/4/16 6:51	69.1 °F	64.0 °F	0.84	30.02 in	4.0 mi	West	3.5 mph	-	N/A		Haze
6/4/16 7:51	70.0 °F	64.0 °F	0.81	30.03 in	5.0 mi	West	4.6 mph	-	N/A		Haze
6/4/16 8:17	71.1 °F	64.0 °F	0.78	30.05 in	5.0 mi	Calm	Calm	-	N/A		Haze
6/4/16 8:24	72.0 °F	64.0 °F	0.76	30.05 in	5.0 mi	Calm	Calm	-	N/A		Haze
6/4/16 8:51	72.0 °F	64.0 °F	0.76	30.02 in	5.0 mi	West	3.5 mph	-	N/A		Haze
6/4/16 9:51	73.9 °F	64.0 °F	0.71	30.01 in	5.0 mi	WSW	5.8 mph	-	N/A		Haze
6/4/16 10:51	75.0 °F	64.9 °F	0.71	30.01 in	6.0 mi	Variable	3.5 mph	-	N/A		Haze
6/4/16 11:51	78.1 °F	66.0 °F	0.66	29.99 in	6.0 mi	Calm	Calm	-	N/A		Haze
6/4/16 12:51	80.1 °F	64.0 °F	0.58	29.97 in	7.0 mi	Variable	3.5 mph	-	N/A		Partly Cloudy
6/4/16 13:51	82.0 °F	64.9 °F	0.56	29.96 in	7.0 mi	Calm	Calm	-	N/A		Scattered Clouds
6/4/16 14:51	80.1 °F	64.0 °F	0.58	29.95 in	6.0 mi	Calm	Calm	-	N/A		Haze
6/4/16 15:51	82.9 °F	64.9 °F	0.54	29.92 in	6.0 mi	Variable	4.6 mph	-	N/A		Haze
6/4/16 16:51	79.0 °F	64.0 °F	0.6	29.91 in	7.0 mi	Variable	5.8 mph	-	N/A		Scattered Clouds
6/4/16 17:51	75.9 °F	63.0 °F	0.64	29.91 in	6.0 mi	SSE	8.1 mph	-	N/A		Haze
6/4/16 18:51	75.0 °F	64.0 °F	0.69	29.92 in	7.0 mi	Calm	Calm	-	N/A		Overcast
6/4/16 19:04	72.0 °F	64.9 °F	0.78	29.96 in	1.8 mi	Variable	3.5 mph	-	0.00 in	Rain	Rain
6/4/16 19:15	70.0 °F	66.9 °F	0.9	29.96 in	0.8 mi	Calm	Calm	-	0.10 in	Rain	Heavy Rain
6/4/16 19:25	70.0 °F	66.9 °F	0.9	29.96 in	1.2 mi	SSE	3.5 mph	-	0.14 in	Rain	Rain
6/4/16 19:48	69.8 °F	66.2 °F	0.88	29.96 in	2.0 mi	Variable	3.5 mph	-	0.16 in		Overcast
6/4/16 19:51	69.1 °F	66.9 °F	0.93	29.94 in	2.5 mi	Variable	3.5 mph	-	0.16 in		Overcast
6/4/16 20:00	69.1 °F	66.9 °F	0.93	29.97 in	1.5 mi	Variable	3.5 mph	-	0.01 in	Rain	Rain
6/4/16 20:47	68.0 °F	66.2 °F	0.94	29.97 in	2.5 mi	SSE	6.9 mph	-	0.24 in	Rain	Light Rain
6/4/16 20:51	66.9 °F	64.9 °F	0.93	29.94 in	3.0 mi	Variable	5.8 mph	-	0.24 in	Rain	Light Rain
6/4/16 21:51	68.0 °F	64.9 °F	0.9	29.96 in	4.0 mi	East	4.6 mph	-	0.00 in		Overcast
6/4/16 22:51	66.0 °F	63.0 °F	0.9	29.94 in	6.0 mi	Calm	Calm	-	N/A		Overcast
6/4/16 23:51	66.9 °F	64.0 °F	0.9	29.93 in	6.0 mi	SE	3.5 mph	-	N/A		Overcast
