Time,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
6/8/16 0:51,64.0 °F,48.0 °F,0.56,29.58 in,10.0 mi,Variable,5.8 mph,-,N/A,,Clear
6/8/16 1:51,64.0 °F,48.0 °F,0.56,29.58 in,10.0 mi,Variable,6.9 mph,-,N/A,,Clear
6/8/16 2:51,63.0 °F,46.9 °F,0.56,29.59 in,10.0 mi,WNW,8.1 mph,17.3 mph,N/A,,Clear
6/8/16 3:51,62.1 °F,46.9 °F,0.58,29.60 in,10.0 mi,WNW,8.1 mph,-,N/A,,Clear
6/8/16 4:51,61.0 °F,46.9 °F,0.6,29.62 in,10.0 mi,North,-,-,N/A,,Clear
6/8/16 5:51,60.1 °F,46.9 °F,0.62,29.63 in,10.0 mi,Variable,5.8 mph,-,N/A,,Clear
6/8/16 6:51,61.0 °F,46.9 °F,0.6,29.63 in,10.0 mi,North,-,-,N/A,,Clear
6/8/16 7:51,61.0 °F,46.9 °F,0.6,29.62 in,10.0 mi,North,-,-,N/A,,Clear
6/8/16 8:51,63.0 °F,48.0 °F,0.58,29.62 in,10.0 mi,Variable,5.8 mph,-,N/A,,Clear
6/8/16 9:51,64.0 °F,44.1 °F,0.48,29.62 in,10.0 mi,Variable,5.8 mph,-,N/A,,Clear
6/8/16 10:51,66.0 °F,45.0 °F,0.47,29.60 in,9.0 mi,Variable,5.8 mph,-,N/A,,Scattered Clouds
6/8/16 11:51,64.9 °F,45.0 °F,0.48,29.59 in,10.0 mi,Variable,6.9 mph,-,N/A,,Overcast
6/8/16 12:51,57.9 °F,51.1 °F,0.78,29.62 in,1.8 mi,NW,9.2 mph,18.4 mph,0.01 in,Rain,Light Rain
6/8/16 13:15,55.9 °F,53.1 °F,0.9,29.67 in,0.8 mi,West,9.2 mph,19.6 mph,0.09 in,Rain,Heavy Rain
6/8/16 13:20,55.9 °F,53.1 °F,0.9,29.67 in,0.8 mi,WNW,8.1 mph,19.6 mph,0.12 in,Rain,Heavy Rain
6/8/16 13:44,55.0 °F,53.1 °F,0.93,29.68 in,0.8 mi,WNW,11.5 mph,25.3 mph,0.26 in,Rain,Rain
6/8/16 13:51,54.0 °F,52.0 °F,0.93,29.66 in,0.8 mi,WNW,12.7 mph,26.5 mph,0.30 in,Rain,Rain
6/8/16 13:58,53.1 °F,50.0 °F,0.89,29.69 in,1.2 mi,WNW,10.4 mph,26.5 mph,0.02 in,Rain,Rain
6/8/16 14:09,53.1 °F,50.0 °F,0.89,29.69 in,2.5 mi,WNW,9.2 mph,21.9 mph,0.03 in,Rain,Light Rain
6/8/16 14:51,52.0 °F,48.9 °F,0.89,29.66 in,3.0 mi,WNW,8.1 mph,-,0.11 in,Rain,Light Rain
6/8/16 15:51,54.0 °F,50.0 °F,0.86,29.67 in,8.0 mi,WNW,6.9 mph,-,0.02 in,,Overcast
6/8/16 16:51,55.0 °F,51.1 °F,0.86,29.67 in,9.0 mi,WNW,9.2 mph,17.3 mph,0.01 in,,Scattered Clouds
6/8/16 17:31,57.9 °F,48.0 °F,0.7,29.70 in,10.0 mi,North,-,-,N/A,,Partly Cloudy
6/8/16 17:51,59.0 °F,46.9 °F,0.64,29.68 in,10.0 mi,West,11.5 mph,20.7 mph,N/A,,Partly Cloudy
6/8/16 18:51,61.0 °F,46.0 °F,0.58,29.70 in,9.0 mi,Variable,5.8 mph,-,N/A,,Clear
6/8/16 19:51,62.1 °F,39.9 °F,0.44,29.72 in,9.0 mi,Variable,6.9 mph,24.2 mph,N/A,,Clear
6/8/16 20:51,61.0 °F,41.0 °F,0.48,29.74 in,10.0 mi,WNW,9.2 mph,-,N/A,,Overcast
6/8/16 21:51,60.1 °F,42.1 °F,0.51,29.77 in,10.0 mi,WNW,8.1 mph,23.0 mph,N/A,,Mostly Cloudy
6/8/16 22:51,60.1 °F,42.1 °F,0.51,29.78 in,10.0 mi,WNW,5.8 mph,-,N/A,,Overcast
6/8/16 23:51,59.0 °F,41.0 °F,0.51,29.80 in,10.0 mi,WNW,10.4 mph,21.9 mph,N/A,,Overcast
